age,fnlwgt,education,educational-num,race,gender,capital-gain,capital-loss,hours-per-week,income,workclass,marital-status,occupation,native-country,relationship
18,54440,12,10,White,Male,0,0,20,0,4,4,8,39,5
39,280215,8,9,Black,Male,0,0,40,0,4,0,6,39,5
21,214399,12,10,White,Female,0,1721,24,0,4,4,8,39,5
22,54164,8,9,White,Male,14084,0,60,1,4,4,8,39,1
38,219446,4,5,White,Male,0,0,54,0,4,3,4,26,1
21,110677,12,10,White,Female,0,0,40,0,4,4,1,39,5
63,145985,8,9,White,Male,0,0,40,0,4,2,3,39,4
34,382078,13,13,White,Male,3103,0,50,1,2,2,4,39,4
42,170721,8,9,White,Male,5178,0,50,1,5,2,4,39,4
33,269705,8,9,White,Male,0,0,40,0,4,2,6,39,4
30,101135,13,13,White,Female,0,0,50,0,4,4,4,39,1
39,118429,12,10,White,Male,0,0,40,0,4,0,12,39,1
26,31208,14,14,White,Female,0,0,40,0,4,4,4,39,1
33,281384,8,9,White,Female,0,0,40,0,4,4,7,39,5
47,171807,8,9,White,Female,0,0,40,0,2,0,1,39,1
41,109912,13,13,White,Female,0,0,40,0,4,4,8,0,1
41,445382,10,12,White,Male,15024,0,60,1,5,2,3,39,4
19,105460,12,10,White,Male,0,0,20,0,4,4,8,39,5
46,170338,8,9,White,Male,0,0,40,0,4,5,14,39,1
43,102606,8,9,White,Male,0,0,48,0,4,2,12,39,4
55,323887,12,10,White,Male,15024,0,45,1,4,2,4,39,4
46,175622,11,11,White,Male,0,0,40,0,4,2,13,39,4
30,229636,8,9,White,Male,0,0,40,0,4,2,7,26,4
21,388946,12,10,White,Female,0,0,40,0,4,5,6,39,1
46,269034,12,10,Other,Male,0,0,40,0,4,2,3,6,4
17,165361,5,6,White,Male,0,0,40,0,0,4,0,39,5
41,75012,8,9,White,Male,0,0,50,0,4,2,7,39,4
69,174379,8,9,White,Male,0,0,30,0,5,2,12,39,4
50,312477,8,9,White,Male,0,0,40,0,4,2,14,39,4
20,72055,12,10,White,Female,0,0,40,0,4,4,1,39,1
45,67001,12,10,White,Male,0,0,50,0,5,2,7,39,4
23,213734,13,13,White,Male,0,0,40,0,4,4,4,39,1
24,83141,12,10,White,Male,0,1876,40,0,4,5,8,39,1
44,223881,8,9,White,Male,99999,0,50,1,5,2,3,0,4
31,113752,12,10,White,Male,0,0,50,0,6,2,3,39,4
43,170482,8,9,White,Female,0,0,44,0,4,5,7,39,1
20,244689,6,7,White,Female,0,0,10,0,1,4,8,39,5
55,160631,8,9,White,Male,0,0,56,1,4,2,12,39,4
24,228724,12,10,White,Male,0,0,40,0,1,4,2,39,1
41,38434,14,14,White,Female,7688,0,10,1,0,2,0,39,3
59,292946,13,13,White,Female,0,0,25,0,4,4,4,39,1
49,77443,3,4,Black,Male,0,0,20,0,1,4,8,39,1
33,176410,14,14,White,Female,5178,0,10,1,4,2,10,39,3
59,98984,13,13,White,Male,0,0,40,0,1,0,1,39,1
34,198751,14,14,Amer-Indian-Eskimo,Male,0,0,40,0,4,4,8,39,1
20,479296,8,9,White,Male,0,0,40,0,4,4,6,39,5
25,235218,13,13,White,Female,0,0,40,0,4,4,4,39,5
49,164877,5,6,White,Male,0,0,40,0,4,2,5,39,4
59,272087,8,9,White,Male,0,0,40,1,4,2,14,39,4
20,169699,8,9,White,Female,0,0,40,0,4,4,1,39,1
51,189762,12,10,White,Female,0,0,18,0,0,2,0,39,3
33,202191,12,10,Black,Female,0,0,35,0,4,4,1,39,2
22,212261,12,10,Black,Male,0,0,39,0,4,4,14,39,5
58,301568,4,5,White,Female,0,0,40,0,6,6,8,39,1
52,155233,8,9,White,Female,0,0,28,0,2,6,1,39,2
36,75826,5,6,White,Female,0,0,40,0,4,5,7,39,1
41,201520,8,9,White,Male,0,0,40,0,2,2,11,39,4
28,154236,8,9,White,Male,2597,0,40,0,4,4,14,39,5
19,289227,12,10,Black,Male,0,0,16,0,4,4,6,39,5
18,217439,8,9,White,Female,0,0,28,0,4,4,8,39,1
18,179020,8,9,White,Female,0,0,48,0,4,4,7,39,5
28,149624,12,10,White,Male,0,0,40,0,4,2,3,39,4
29,337266,11,11,White,Male,0,0,40,1,4,2,4,39,4
20,30796,8,9,White,Female,0,0,20,0,0,4,0,39,5
40,103541,12,10,White,Male,0,0,40,0,4,2,6,39,4
26,206721,8,9,White,Male,0,0,40,0,4,4,6,39,2
46,96773,8,9,White,Male,0,0,40,0,4,2,3,39,4
23,200967,6,7,White,Female,0,0,24,0,4,4,8,39,1
44,180019,8,9,White,Female,0,0,40,0,4,3,1,39,2
43,179866,13,13,White,Female,0,0,40,1,4,0,12,39,2
31,198770,13,13,White,Female,0,0,60,0,2,0,10,39,2
18,219256,12,10,White,Female,0,0,25,0,4,4,12,39,5
19,248730,12,10,White,Male,0,0,30,0,4,4,11,39,5
41,110732,12,10,White,Female,0,0,40,0,4,0,13,39,1
41,181020,8,9,White,Female,0,0,40,0,4,0,6,39,2
69,183791,8,9,White,Female,0,0,25,0,4,0,1,39,1
48,42972,15,16,White,Female,0,0,40,1,1,2,10,39,3
28,134813,8,9,White,Male,0,0,40,0,4,4,10,39,5
27,115438,8,9,White,Male,0,0,60,1,6,2,3,21,4
41,239296,14,14,White,Male,0,2415,50,1,4,2,10,39,4
41,428420,12,10,White,Male,0,0,40,0,4,2,1,39,4
24,247846,8,9,Black,Female,0,0,40,0,4,4,3,39,2
20,334105,8,9,White,Female,0,0,40,0,0,4,0,39,1
42,100793,15,16,White,Male,0,0,41,1,5,2,10,39,4
57,244478,8,9,Black,Male,0,0,48,0,4,2,3,39,4
30,142921,10,12,White,Female,0,0,40,0,4,4,10,39,1
36,182863,8,9,White,Male,0,0,60,1,4,2,12,39,4
49,171128,3,4,Black,Male,0,0,40,0,4,2,7,39,4
33,145402,8,9,White,Female,0,0,35,0,4,2,7,39,3
23,306309,5,6,White,Male,0,0,40,0,4,2,5,39,4
46,83822,14,14,White,Male,0,0,40,0,4,2,10,39,4
18,262118,12,10,Asian-Pac-Islander,Female,0,0,22,0,4,4,1,11,5
40,155972,8,9,White,Male,7688,0,55,1,4,2,4,39,4
43,214503,8,9,White,Male,0,1887,45,1,5,2,4,39,4
34,159303,14,14,White,Female,0,0,30,0,4,4,10,39,5
47,174995,8,9,White,Female,0,0,30,0,6,6,4,39,1
44,26669,11,11,White,Female,0,0,30,0,4,6,4,39,2
33,177727,8,9,White,Male,0,0,40,1,4,2,12,39,4
55,124771,13,13,White,Male,15024,0,50,1,4,2,4,39,4
19,456736,8,9,White,Male,2907,0,30,0,4,4,12,39,1
28,216604,12,10,Black,Male,0,0,14,0,4,4,8,39,1
27,221561,6,7,Black,Female,0,0,32,0,4,2,8,39,3
50,114564,3,4,White,Male,0,0,20,0,4,2,7,39,4
22,315476,6,7,White,Male,0,0,40,0,4,4,3,39,2
40,67874,13,13,White,Male,0,1887,45,1,7,2,1,39,4
25,126110,12,10,White,Female,0,0,40,0,4,4,1,39,5
26,102264,8,9,White,Male,0,0,40,0,2,4,3,39,1
22,537222,13,13,White,Male,0,0,25,0,4,4,12,39,1
42,113732,12,10,Black,Female,0,625,40,0,4,4,6,39,2
38,93225,13,13,White,Male,0,0,40,0,5,0,4,39,1
55,43064,6,7,White,Male,0,0,30,0,4,2,8,39,4
32,136921,8,9,White,Male,0,0,40,0,4,2,12,39,4
22,388885,8,9,White,Male,0,0,45,0,4,2,3,39,4
29,142249,13,13,White,Male,0,0,40,0,4,4,12,39,5
46,56841,14,14,White,Male,0,0,45,1,7,2,4,39,4
31,156493,12,10,White,Male,0,0,40,1,4,2,4,39,4
58,159021,15,16,White,Male,0,0,16,1,6,2,10,39,4
42,190910,8,9,White,Male,0,0,45,0,4,2,3,39,4
18,41879,8,9,White,Male,0,0,25,0,4,4,6,39,2
58,137249,8,9,White,Male,0,0,33,0,2,0,4,39,1
54,236157,8,9,White,Male,0,1887,40,1,4,2,10,39,4
34,189759,14,14,White,Male,0,0,40,0,4,4,10,39,1
26,239877,13,13,White,Female,0,0,40,0,4,4,1,39,1
61,21175,7,8,White,Male,0,0,60,0,4,2,4,39,4
48,67229,14,14,Black,Female,0,0,40,0,2,5,1,39,2
36,236391,12,10,White,Male,0,0,45,1,4,2,4,39,4
24,325596,11,11,White,Male,0,0,45,0,4,2,7,39,4
40,83411,12,10,White,Male,0,0,37,0,4,2,7,39,4
33,154227,8,9,White,Male,0,0,50,1,5,2,12,39,4
37,248010,12,10,White,Male,0,1887,40,1,4,2,7,39,4
34,198613,14,14,White,Male,4650,0,40,0,4,4,4,39,5
56,321529,12,10,White,Male,15024,0,40,1,5,2,4,39,4
28,168524,8,9,White,Female,0,0,38,1,0,2,0,39,5
37,203079,13,13,White,Female,0,0,55,0,4,6,4,39,1
44,284652,8,9,Black,Female,0,0,40,0,4,0,12,39,2
64,201368,12,10,White,Male,0,0,8,0,0,2,0,39,4
54,59840,8,9,White,Male,0,0,45,0,4,0,6,39,1
23,52753,8,9,White,Male,0,0,50,0,4,4,7,39,1
34,513100,13,13,Black,Male,0,0,40,0,7,3,5,0,1
22,199266,8,9,White,Female,0,0,45,0,4,4,8,39,1
33,196385,13,13,White,Male,0,1977,40,1,4,2,4,39,4
39,163205,13,13,White,Male,0,0,50,1,4,5,10,39,1
47,411047,12,10,Black,Female,0,0,37,0,4,0,1,39,1
79,48574,3,4,White,Male,0,0,40,0,0,6,0,39,1
26,209440,8,9,Black,Female,0,0,55,0,4,4,10,39,2
31,56964,12,10,White,Female,0,0,40,0,4,0,4,39,2
44,299197,12,10,White,Male,0,0,45,0,4,4,14,39,1
42,240628,9,15,White,Female,0,0,50,1,5,2,10,39,3
19,355313,8,9,White,Female,0,0,40,0,4,4,7,39,1
27,132267,8,9,White,Male,0,0,40,1,4,2,6,39,4
51,174861,12,10,White,Male,0,0,40,1,2,2,11,39,4
28,142443,13,13,White,Male,0,0,50,0,5,2,4,39,4
57,26716,13,13,White,Male,0,0,45,0,4,0,3,39,1
45,185588,13,13,White,Female,0,0,40,0,2,0,10,39,2
50,175029,11,11,White,Male,0,0,40,1,4,2,10,39,4
34,34848,13,13,White,Male,0,0,54,0,5,2,12,39,4
45,411273,3,4,Black,Male,0,0,40,0,4,2,3,39,4
73,143437,8,9,White,Male,0,0,20,0,2,2,4,39,4
34,357145,13,13,White,Female,0,0,50,1,4,2,10,39,3
31,236861,12,10,White,Male,0,0,55,1,4,2,12,39,4
19,53355,6,7,White,Male,0,0,12,0,4,4,12,39,1
25,29106,12,10,White,Female,0,0,50,0,4,4,8,39,5
38,213274,11,11,White,Female,6497,0,40,0,1,0,3,39,2
39,22463,13,13,White,Male,0,0,40,0,4,2,14,39,4
23,180497,13,13,Black,Female,0,0,32,0,4,4,13,39,5
49,37306,8,9,White,Male,0,0,40,0,4,2,7,39,4
33,137814,8,9,White,Male,0,0,32,0,1,4,8,39,1
21,447488,2,3,White,Male,0,0,38,0,4,4,7,26,0
31,220915,11,11,White,Male,0,0,40,0,4,5,3,39,1
23,42251,13,13,White,Female,0,0,45,0,4,4,4,39,1
34,162312,13,13,Asian-Pac-Islander,Male,0,0,40,0,4,2,1,30,4
25,77698,8,9,Asian-Pac-Islander,Female,0,0,40,0,4,4,7,30,1
39,282951,8,9,White,Male,0,0,40,0,4,4,3,39,2
52,311259,8,9,White,Male,0,0,40,1,5,2,12,39,4
63,65479,4,5,White,Male,7688,0,40,1,2,2,14,39,4
41,277256,12,10,White,Male,0,0,40,0,4,2,3,39,4
46,312088,13,13,White,Male,15024,0,38,1,4,2,10,39,4
53,169719,8,9,White,Male,0,0,40,0,2,2,4,39,4
25,270276,4,5,White,Female,1055,0,40,0,0,5,0,39,1
77,172744,12,10,White,Male,0,0,35,0,0,2,0,39,4
18,96869,7,8,White,Male,0,0,40,0,4,4,9,39,5
38,237943,9,15,White,Male,0,0,50,0,4,2,10,39,4
55,119751,14,14,Asian-Pac-Islander,Female,0,0,50,0,4,4,4,37,2
34,236861,8,9,White,Male,0,0,40,1,4,2,13,39,4
80,201092,8,9,White,Male,0,0,30,0,6,2,8,39,4
34,147215,11,11,White,Female,0,0,60,0,4,0,13,39,2
52,152373,12,10,White,Male,5013,0,40,0,4,2,13,39,4
42,227968,8,9,Black,Female,0,0,28,0,4,4,8,14,2
26,362617,12,10,White,Female,0,0,40,0,4,4,12,39,1
31,103435,8,9,White,Male,0,0,40,0,4,2,14,39,4
25,281412,8,9,White,Female,0,0,35,0,2,4,8,39,5
55,105239,8,9,White,Male,0,2057,60,0,6,2,3,39,4
19,230165,12,10,White,Female,0,0,12,0,4,4,8,39,5
62,177493,12,10,White,Male,0,0,32,0,6,2,14,39,4
22,104443,12,10,White,Female,0,0,20,0,1,4,1,39,5
39,110342,8,9,White,Female,0,0,50,0,0,2,0,39,3
35,143385,8,9,White,Male,0,0,40,0,4,2,6,39,4
28,107189,8,9,White,Female,0,0,40,0,4,2,12,39,5
47,212944,8,9,White,Male,0,0,70,1,4,2,14,39,4
44,138634,8,9,White,Male,0,0,40,0,7,2,7,39,4
21,99970,12,10,White,Male,0,0,15,0,4,4,12,39,5
35,203717,11,11,White,Male,0,0,50,0,4,4,3,39,1
24,313956,13,13,White,Male,0,0,40,1,4,2,10,39,4
42,177937,13,13,White,Male,0,0,40,0,1,4,10,0,1
28,193868,13,13,White,Male,0,0,50,0,4,4,13,39,5
21,250939,12,10,White,Male,0,0,35,0,4,4,7,39,0
62,57629,12,10,Black,Male,4650,0,40,0,1,0,13,39,1
39,281768,8,9,Black,Female,0,0,40,0,4,4,8,39,1
30,260782,8,9,White,Male,0,0,40,0,7,4,8,39,1
72,243769,9,15,White,Male,0,1429,20,0,6,4,10,39,1
50,109937,12,10,White,Female,0,0,50,0,4,2,4,39,3
28,134890,14,14,White,Male,0,0,40,0,2,4,10,39,1
29,100293,12,10,White,Female,0,0,40,0,4,4,10,39,1
26,132179,13,13,White,Female,0,0,40,0,4,4,1,39,5
27,116372,14,14,White,Female,0,0,40,0,4,4,4,39,1
29,255412,12,10,White,Male,3103,0,40,1,4,2,6,39,4
61,195789,8,9,White,Male,0,0,40,0,0,2,0,39,4
29,342400,5,6,White,Male,0,0,25,0,4,2,3,39,4
21,65481,12,10,White,Female,0,0,30,0,0,4,0,39,5
31,169085,6,7,White,Female,0,0,20,0,4,2,12,39,3
25,177221,8,9,White,Male,0,0,75,0,4,2,4,39,4
58,65325,5,6,White,Male,0,0,40,1,4,2,14,39,4
64,118944,12,10,White,Female,0,0,40,1,4,2,4,39,3
46,149337,14,14,White,Male,0,0,38,0,7,4,4,39,1
53,237868,8,9,White,Male,0,0,35,1,0,2,0,39,4
19,106183,8,9,Amer-Indian-Eskimo,Female,0,0,35,0,4,4,8,39,5
42,226388,8,9,Black,Male,0,0,52,0,4,0,8,39,1
18,220754,6,7,White,Male,0,0,24,0,4,4,6,39,5
58,204021,13,13,White,Male,15024,0,50,1,5,2,3,39,4
20,347391,12,10,Black,Male,0,0,60,0,4,4,11,39,1
35,413930,8,9,White,Male,0,0,40,1,1,2,3,39,4
32,174201,8,9,White,Male,0,0,38,1,4,2,6,39,4
23,145917,8,9,White,Female,0,0,25,0,4,4,6,39,1
31,241797,12,10,White,Female,0,0,40,0,4,0,13,39,2
33,265168,13,13,Black,Male,0,0,55,0,4,2,12,39,4
41,171234,12,10,White,Female,0,0,48,0,4,4,7,39,1
22,178452,8,9,Black,Male,0,0,40,0,4,4,7,39,5
46,157857,12,10,White,Male,0,0,40,1,4,2,11,39,4
61,512864,12,10,Black,Male,0,0,40,0,1,2,14,39,4
30,296462,8,9,Black,Male,0,0,40,0,4,4,4,39,1
42,171615,8,9,White,Male,0,0,55,1,4,2,4,39,4
63,214071,5,6,White,Male,0,0,40,0,4,2,6,39,4
26,172421,12,10,White,Male,0,0,40,0,4,2,12,39,4
42,195488,5,6,White,Female,0,0,40,0,4,0,1,39,2
23,316841,12,10,White,Male,0,0,40,0,4,2,8,39,4
25,236267,8,9,White,Male,0,1590,40,0,4,4,7,39,2
30,236543,4,5,White,Male,0,0,32,1,4,2,8,8,4
23,318483,8,9,White,Male,0,0,40,0,4,4,12,39,5
34,163756,11,11,White,Male,27828,0,60,1,6,4,5,39,1
30,238186,8,9,White,Male,0,2057,48,0,4,2,7,39,0
39,329980,12,10,White,Male,0,0,40,1,4,2,3,39,4
30,169269,6,7,White,Male,0,1721,38,0,4,4,6,33,0
38,34744,12,10,White,Female,0,0,38,0,2,0,1,39,2
26,98114,8,9,White,Female,0,0,40,0,4,0,4,39,5
20,109667,12,10,White,Male,0,0,16,0,4,4,6,39,5
37,263690,13,13,Black,Male,0,0,40,0,2,4,10,0,2
33,147430,8,9,White,Female,0,0,40,0,4,2,1,39,5
24,224238,13,13,White,Male,0,0,40,0,4,4,1,39,5
42,212894,13,13,White,Male,0,0,60,1,5,2,4,39,4
51,136708,8,9,Asian-Pac-Islander,Male,3103,0,84,0,6,2,12,40,4
56,38573,10,12,White,Male,0,0,45,1,2,2,13,39,4
22,197200,12,10,White,Male,0,0,40,0,4,4,6,39,5
52,182796,12,10,White,Male,0,0,60,0,6,2,5,39,4
44,184527,13,13,White,Female,4934,0,45,1,4,0,4,39,2
34,145231,8,9,White,Female,4064,0,35,0,4,2,1,39,3
51,43354,12,10,White,Male,0,0,42,1,4,0,3,39,1
20,318865,12,10,White,Male,0,0,40,0,0,4,0,39,1
19,355712,12,10,White,Female,0,0,25,0,4,4,12,39,1
37,98776,13,13,White,Male,0,0,40,1,4,2,4,39,4
68,257557,8,9,Black,Male,0,0,40,1,4,2,7,39,4
22,102258,12,10,White,Male,0,0,40,0,4,0,11,39,1
56,170287,13,13,White,Male,0,0,40,0,5,2,4,39,4
37,243409,8,9,White,Male,0,0,40,0,4,2,3,39,4
52,55608,1,2,White,Male,0,0,40,0,4,2,7,26,4
26,248057,8,9,White,Male,0,0,40,0,4,5,6,33,5
33,95530,14,14,White,Male,0,0,50,0,4,2,10,39,4
45,54038,14,14,White,Female,0,0,42,0,2,0,10,39,2
18,161245,6,7,White,Male,0,0,15,0,4,4,8,39,5
43,388725,12,10,White,Male,0,0,60,1,6,2,5,39,4
64,71807,15,16,White,Male,15024,0,50,1,6,2,10,0,4
18,228216,8,9,White,Male,0,0,20,0,4,4,6,39,5
20,303121,12,10,White,Male,0,0,45,0,0,4,0,39,5
57,78020,8,9,White,Male,0,0,40,1,4,2,3,39,4
41,249254,8,9,White,Female,3674,0,42,0,4,0,1,39,2
34,87218,14,14,White,Male,0,1887,50,1,4,2,4,39,4
19,304299,8,9,White,Female,0,0,40,0,4,4,12,39,2
44,196234,4,5,White,Female,0,0,55,0,4,0,8,6,2
56,197875,5,6,White,Female,0,0,40,0,4,6,8,39,2
36,48063,8,9,White,Male,0,0,80,0,5,2,5,39,4
48,253596,13,13,White,Female,0,0,48,0,4,0,4,39,2
29,39257,8,9,White,Male,0,0,40,1,4,2,14,39,4
33,56150,13,13,White,Male,2174,0,40,0,4,4,3,39,1
31,179415,2,3,White,Male,0,0,40,0,4,2,8,26,4
39,252445,14,14,White,Male,0,0,45,1,4,2,10,39,4
66,275918,8,9,White,Male,10605,0,40,1,4,2,4,39,4
27,106562,13,13,White,Female,0,0,50,1,4,4,10,39,1
39,198654,8,9,Black,Female,99999,0,40,1,4,0,4,39,2
59,107318,3,4,White,Male,5178,0,50,1,4,2,3,39,4
26,181896,8,9,White,Female,0,0,40,0,4,4,8,39,5
31,106014,11,11,White,Male,0,0,40,0,4,0,3,39,2
45,319993,8,9,White,Female,0,0,40,0,0,6,0,26,2
23,197997,8,9,White,Male,0,0,30,0,4,4,6,39,5
36,173542,8,9,White,Female,0,0,40,0,2,0,1,39,2
34,207564,12,10,White,Female,0,0,12,1,4,2,8,39,3
32,224462,8,9,White,Male,0,0,84,1,4,2,14,39,4
37,123361,13,13,Black,Male,0,0,50,1,4,2,10,39,4
33,90409,13,13,White,Male,0,0,45,0,4,4,12,39,1
50,165001,9,15,White,Male,99999,0,80,1,6,2,10,39,4
32,149573,10,12,Black,Male,0,0,40,0,1,4,11,39,1
35,249456,13,13,Black,Female,0,0,40,0,4,4,1,39,5
37,149898,6,7,White,Male,0,0,40,0,4,2,3,39,4
44,292985,12,10,White,Male,0,0,60,0,4,0,3,39,1
57,50223,12,10,White,Male,0,0,25,0,4,0,6,39,0
29,400074,12,10,White,Female,0,0,40,0,2,2,4,39,5
55,197399,8,9,White,Male,0,0,50,1,4,2,3,39,4
43,209547,9,15,White,Male,0,0,25,1,5,2,10,39,4
43,52433,12,10,White,Male,0,0,70,0,4,2,12,39,4
45,355978,12,10,White,Male,0,0,60,1,6,2,12,39,4
33,48214,14,14,White,Female,0,0,8,0,6,2,10,39,3
26,190873,5,6,White,Female,0,0,40,0,4,0,8,11,2
23,278390,12,10,White,Male,0,0,68,0,4,2,12,39,4
41,203217,3,4,White,Male,0,0,40,0,4,5,3,26,1
24,279175,8,9,White,Male,0,0,40,0,4,2,3,39,4
47,194590,13,13,White,Male,0,0,44,0,6,2,12,39,4
34,198813,8,9,White,Male,0,0,45,0,6,4,3,39,5
40,187294,8,9,White,Male,0,0,40,1,4,2,4,39,4
28,302903,13,13,Asian-Pac-Islander,Female,0,1485,40,0,4,2,10,39,3
24,154835,8,9,Asian-Pac-Islander,Female,0,0,40,0,4,4,4,35,5
73,73402,12,10,White,Male,0,0,10,0,0,2,0,39,4
23,100345,8,9,White,Male,0,0,15,0,4,4,3,39,0
43,126320,8,9,Black,Male,0,0,40,1,6,2,4,39,4
26,142226,13,13,White,Female,0,0,40,0,4,0,13,39,1
58,112076,15,16,White,Female,0,1485,35,1,6,1,4,39,3
52,225339,8,9,Black,Female,0,0,35,0,4,6,1,39,2
29,211208,6,7,White,Male,0,0,99,1,4,2,14,39,4
47,200808,6,7,White,Male,0,0,35,0,4,2,8,4,4
49,220618,8,9,Black,Female,0,0,37,0,4,0,1,39,2
40,210493,6,7,White,Female,0,0,40,0,4,6,1,39,2
62,369734,8,9,White,Female,0,0,40,0,6,2,1,39,3
49,27898,8,9,White,Male,0,1977,55,1,4,2,4,39,4
50,138193,13,13,White,Female,0,0,50,1,4,0,10,39,0
31,224234,8,9,Black,Male,0,0,40,0,4,4,14,39,5
48,188741,14,14,White,Female,0,0,50,0,2,4,10,39,1
24,183772,8,9,White,Female,0,0,40,0,4,4,3,39,2
41,155041,8,9,White,Female,3418,0,40,0,0,4,0,39,5
37,79586,8,9,Asian-Pac-Islander,Male,0,0,60,0,4,5,7,39,5
45,355781,13,13,Asian-Pac-Islander,Male,0,0,45,1,4,2,4,24,4
63,156158,8,9,White,Male,0,0,16,0,0,2,0,39,4
36,116358,14,14,Asian-Pac-Islander,Male,0,0,45,0,4,2,4,19,4
45,59287,13,13,White,Male,0,0,40,0,4,2,4,39,4
41,138868,13,13,White,Female,0,0,40,0,4,4,12,39,1
26,185885,10,12,White,Female,0,0,20,0,4,4,13,39,0
17,40299,6,7,White,Female,0,0,25,0,4,4,12,39,5
27,500068,8,9,White,Male,0,0,36,0,4,2,8,0,4
43,51494,8,9,White,Male,0,0,65,0,4,2,7,39,4
35,179481,8,9,White,Male,0,0,55,0,4,4,14,39,5
38,365907,13,13,White,Female,0,0,40,0,4,0,1,39,2
26,284343,8,9,White,Male,0,0,40,0,4,4,7,39,1
28,204862,12,10,White,Female,0,0,40,0,4,4,4,39,5
38,272476,13,13,White,Female,0,0,24,1,4,2,10,39,3
36,175130,6,7,White,Female,0,0,40,0,4,0,14,39,2
33,118941,8,9,White,Female,0,0,40,1,4,2,1,39,3
19,164339,8,9,White,Male,1055,0,70,0,4,4,6,39,5
22,213291,10,12,White,Male,0,0,25,0,0,4,0,39,5
42,55457,5,6,White,Male,0,0,40,0,1,2,1,26,4
50,280292,5,6,White,Male,0,0,40,1,4,2,14,39,4
30,446894,8,9,White,Male,0,0,30,0,4,2,6,39,4
37,67083,12,10,Asian-Pac-Islander,Male,0,0,40,0,7,2,10,1,0
54,159219,9,15,White,Male,99999,0,40,1,5,2,10,39,4
52,168539,13,13,White,Male,0,0,40,0,5,4,4,39,1
65,88145,1,2,Other,Male,0,0,40,0,4,2,6,0,4
33,150309,8,9,White,Female,0,0,40,0,4,0,3,39,1
25,122999,12,10,White,Male,0,0,40,0,4,4,13,39,0
24,302195,13,13,White,Male,0,0,45,0,4,4,12,39,1
26,210982,11,11,Black,Female,114,0,40,0,4,5,1,39,2
