Name,Year_of_Release,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Platform,Genre
Call of Duty: Modern Warfare 2,2009.0,Activision,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0,Infinity Ward,M,17,8
Super Mario All-Stars,1993.0,Nintendo,5.99,2.15,2.12,0.29,10.55,,,,,,,23,4
Grand Theft Auto IV,2008.0,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0,Rockstar North,M,17,0
Pokemon FireRed/Pokemon LeafGreen,2004.0,Nintendo,4.34,2.65,3.15,0.35,10.49,,,,,,,6,7
Super Mario 64,2004.0,Nintendo,5.01,3.07,1.25,0.97,10.3,,,,,,,4,4
Call of Duty: Ghosts,2013.0,Activision,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0,Infinity Ward,M,28,8
Just Dance 3,2011.0,Ubisoft,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0,Ubisoft,E10+,26,3
New Super Mario Bros. 2,2012.0,Nintendo,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0,Nintendo,E,2,4
Mario Kart 64,1996.0,Nintendo,5.55,1.94,2.23,0.15,9.87,,,,,,,10,6
Halo: Reach,2010.0,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0,Bungie,M,28,8
Final Fantasy VII,1997.0,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0,SquareSoft,T,15,7
Halo 4,2012.0,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0,343 Industries,M,28,8
Gran Turismo 2,1999.0,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0,Polyphony Digital,T,15,6
Just Dance 2,2010.0,Ubisoft,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0,Ubisoft,E10+,26,3
Call of Duty: Ghosts,2013.0,Activision,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0,Infinity Ward,M,17,8
Call of Duty 4: Modern Warfare,2007.0,Activision,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0,Infinity Ward,M,28,8
Donkey Kong Country,1994.0,Nintendo,4.36,1.71,3.0,0.23,9.3,,,,,,,23,4
Minecraft,2013.0,Microsoft Game Studios,5.7,2.65,0.02,0.81,9.18,,,,,,,28,3
Animal Crossing: New Leaf,2012.0,Nintendo,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0,Nintendo,E,2,9
Mario Party DS,2007.0,Nintendo,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0,Hudson Soft,E,4,3
The Elder Scrolls V: Skyrim,2011.0,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0,Bethesda Game Studios,M,28,7
Super Mario Kart,1992.0,Nintendo,3.54,1.24,3.81,0.18,8.76,,,,,,,23,6
FIFA 16,2015.0,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0,EA Sports,E,18,10
Halo 2,2004.0,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0,Bungie Software,M,29,8
Wii Party,2010.0,Nintendo,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0,Nd Cube,E,26,3
Mario Party 8,2007.0,Nintendo,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0,Hudson,E,26,3
FIFA Soccer 13,2012.0,Electronic Arts,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0,Electronic Arts,E,17,0
GoldenEye 007,1997.0,Nintendo,5.8,2.01,0.13,0.15,8.09,,,,,,,10,8
Pokemon Black 2/Pokemon White 2,2012.0,Nintendo,2.79,1.72,3.14,0.41,8.07,,,,,,,4,7
Final Fantasy X,2001.0,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0,SquareSoft,T,16,7
The Sims 3,2009.0,Electronic Arts,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0,The Sims Studio,T,13,9
Mario & Sonic at the Olympic Games,2007.0,Sega,2.57,3.86,0.66,0.91,7.99,,,,,,,26,10
Star Wars Battlefront (2015),2015.0,Electronic Arts,2.99,3.49,0.22,1.28,7.98,,,,,,,18,8
Final Fantasy VIII,1999.0,SquareSoft,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0,SquareSoft,T,15,7
Pac-Man,1982.0,Atari,7.28,0.45,0.0,0.08,7.81,,,,,,,0,5
Pokémon Platinum Version,2008.0,Nintendo,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0,Game Freak,E,4,7
Grand Theft Auto: Liberty City Stories,2005.0,Take-Two Interactive,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0,Rockstar Leeds,M,19,0
Call of Duty: Advanced Warfare,2014.0,Activision,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0,Sledgehammer Games,M,18,8
The Legend of Zelda: Ocarina of Time,1998.0,Nintendo,4.1,1.89,1.45,0.16,7.6,,,,,,,10,0
FIFA 17,2016.0,Electronic Arts,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0,"EA Sports, EA Vancouver",E,18,10
Crash Bandicoot 2: Cortex Strikes Back,1997.0,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,,,,,,,15,4
Super Smash Bros. for Wii U and 3DS,2014.0,Nintendo,3.27,1.37,2.43,0.48,7.55,,,,,,,2,2
Super Mario Galaxy 2,2010.0,Nintendo,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0,Nintendo EAD Tokyo,E,26,4
Super Mario Bros. 2,1988.0,Nintendo,5.39,1.18,0.7,0.19,7.46,,,,,,,11,4
Call of Duty: Black Ops 3,2015.0,Activision,4.59,2.11,0.01,0.68,7.39,,,,,,,30,8
Call of Duty: World at War,2008.0,Activision,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0,Treyarch,M,28,8
Battlefield 3,2011.0,Electronic Arts,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0,EA DICE,M,28,8
Need for Speed Underground,2003.0,Electronic Arts,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0,EA Black Box,E,16,6
Just Dance,2009.0,Ubisoft,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0,Ubisoft Paris,E10+,26,3
Battlefield 3,2011.0,Electronic Arts,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0,EA DICE,M,17,8
Fallout 4,2015.0,Bethesda Softworks,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0,Bethesda Game Studios,M,18,7
Tekken 3,1998.0,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0,Namco,T,15,2
The Legend of Zelda: Twilight Princess,2006.0,Nintendo,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0,Nintendo,T,26,0
Pokemon Sun/Moon,2016.0,Nintendo,2.98,1.45,2.26,0.45,7.14,,,,,,,2,7
Crash Bandicoot 3: Warped,1998.0,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0,Naughty Dog,E,15,4
Mario Kart 8,2014.0,Nintendo,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0,Nintendo,E,27,6
Super Smash Bros. Melee,2001.0,Nintendo,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0,HAL Labs,T,7,2
Mario Kart: Double Dash!!,2003.0,Nintendo,4.12,1.77,0.87,0.19,6.95,,,,,,,7,6
Need for Speed Underground 2,2004.0,Electronic Arts,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0,EA Canada,E,16,6
Medal of Honor: Frontline,2002.0,Electronic Arts,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0,EA LA,T,16,8
Crash Bandicoot,1996.0,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,,,,,,,15,4
Just Dance 4,2012.0,Ubisoft,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0,Ubisoft,E10+,26,3
Gears of War 2,2008.0,Microsoft Game Studios,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0,Epic Games,M,28,8
Uncharted 3: Drake's Deception,2011.0,Sony Computer Entertainment,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0,Naughty Dog,T,17,0
Zumba Fitness,2010.0,505 Games,3.45,2.59,0.0,0.66,6.71,,,,,"Pipeworks Software, Inc.",E,26,10
Call of Duty 4: Modern Warfare,2007.0,Activision,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0,Infinity Ward,M,17,8
Uncharted 2: Among Thieves,2009.0,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0,Naughty Dog,T,17,0
FIFA 12,2011.0,Electronic Arts,0.84,4.3,0.11,1.39,6.65,,,,,,,17,10
Big Brain Academy,2005.0,Nintendo,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0,Nintendo,E,4,3
The Legend of Zelda,1986.0,Nintendo,3.74,0.93,1.69,0.14,6.51,,,,,,,11,0
Red Dead Redemption,2010.0,Take-Two Interactive,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0,Rockstar San Diego,M,17,0
FIFA 14,2013.0,Electronic Arts,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0,EA Canada,E,17,10
Assassin's Creed III,2012.0,Ubisoft,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0,Ubisoft,M,17,0
Donkey Kong Country Returns,2010.0,Nintendo,3.17,1.79,1.03,0.46,6.44,87.0,77.0,8.6,368.0,Retro Studios,E,26,4
Halo: Combat Evolved,2001.0,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97.0,68.0,8.6,1283.0,Bungie Software,M,29,8
The Elder Scrolls V: Skyrim,2011.0,Bethesda Softworks,2.55,2.6,0.25,1.0,6.41,92.0,16.0,6.4,2527.0,Bethesda Game Studios,M,17,7
Pokémon Emerald Version,2004.0,Nintendo,2.57,1.58,2.06,0.21,6.41,76.0,28.0,9.0,222.0,Game Freak,E,6,7
Kingdom Hearts,2002.0,Sony Computer Entertainment,3.64,1.2,1.49,0.07,6.4,85.0,46.0,8.8,597.0,SquareSoft,E,16,7
Pokémon Crystal Version,2000.0,Nintendo,2.55,1.56,1.29,0.99,6.39,,,,,,,5,7
Halo 3: ODST,2009.0,Microsoft Game Studios,4.34,1.34,0.06,0.61,6.34,83.0,94.0,7.1,1163.0,"Bungie Software, Bungie",M,28,8
Red Dead Redemption,2010.0,Take-Two Interactive,3.7,1.95,0.09,0.58,6.32,95.0,96.0,9.0,2316.0,Rockstar San Diego,M,28,0
Super Mario Sunshine,2002.0,Nintendo,4.01,1.26,0.87,0.17,6.31,92.0,61.0,8.6,439.0,Nintendo,E,7,4
Street Fighter II: The World Warrior,1992.0,Capcom,2.47,0.83,2.87,0.12,6.3,,,,,,,23,2
World of Warcraft,2004.0,Activision,0.08,6.21,0.0,0.0,6.29,93.0,57.0,7.3,2182.0,Blizzard Entertainment,T,13,7
Driver,1999.0,GT Interactive,3.11,2.8,0.02,0.33,6.27,87.0,22.0,8.1,78.0,Reflections Interactive,T,15,0
Gears of War 3,2011.0,Microsoft Game Studios,4.05,1.59,0.07,0.5,6.21,91.0,96.0,7.8,1504.0,Epic Games,M,28,8
Kinect Sports,2010.0,Microsoft Game Studios,3.92,1.73,0.03,0.51,6.19,73.0,51.0,7.4,95.0,Rare Ltd.,E10+,28,10
Gears of War,2006.0,Microsoft Game Studios,3.54,1.88,0.07,0.6,6.09,94.0,88.0,8.3,2295.0,Epic Games,M,28,8
FIFA 15,2014.0,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,47.0,5.7,988.0,EA Sports,E,18,10
Metal Gear Solid 2: Sons of Liberty,2001.0,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96.0,42.0,8.7,1026.0,KCEJ,M,16,0
Sonic the Hedgehog 2,1992.0,Sega,4.47,1.2,0.16,0.19,6.03,,,,,,,8,4
Metal Gear Solid,1998.0,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,94.0,20.0,9.4,918.0,KCEJ,M,15,0
Metal Gear Solid 4: Guns of the Patriots,2008.0,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,82.0,8.7,3558.0,Kojima Productions,M,17,0
Final Fantasy XII,2006.0,Square Enix,1.88,0.0,2.33,1.74,5.95,92.0,64.0,7.6,972.0,Square Enix,T,16,7
The Last of Us,2013.0,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,98.0,9.1,8003.0,Naughty Dog,M,17,0
LittleBigPlanet,2008.0,Sony Computer Entertainment,2.8,1.98,0.17,0.87,5.82,95.0,85.0,6.8,5311.0,"SCE/WWS, Media Molecule",E,17,4
Resident Evil 2,1998.0,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,89.0,13.0,9.2,364.0,Capcom,M,15,0
Dragon Quest IX: Sentinels of the Starry Skies,2009.0,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,65.0,8.8,197.0,Level 5,E10+,4,7
Tekken 2,1996.0,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,89.0,8.0,8.9,102.0,Namco,T,15,2
Destiny,2014.0,Activision,2.49,2.07,0.16,0.92,5.64,76.0,95.0,6.1,5380.0,"Bungie Software, Bungie",T,18,8
LEGO Star Wars: The Complete Saga,2007.0,LucasArts,3.57,1.55,0.0,0.51,5.64,80.0,17.0,8.9,62.0,Traveller's Tales,E10+,26,0
Cooking Mama,2006.0,505 Games,3.07,1.91,0.07,0.57,5.63,67.0,35.0,7.2,21.0,Taito Corporation,E,4,9
Tetris,1988.0,Nintendo,2.97,0.69,1.81,0.11,5.58,,,,,,,11,5
Super Smash Bros.,1999.0,Nintendo,2.95,0.6,1.97,0.04,5.55,,,,,,,10,2
Assassin's Creed II,2009.0,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,70.0,8.6,1202.0,Ubisoft Montreal,M,17,0
Assassin's Creed,2007.0,Ubisoft,3.28,1.64,0.07,0.56,5.54,81.0,77.0,7.7,1074.0,Ubisoft Montreal,M,28,1
Forza Motorsport 3,2009.0,Microsoft Game Studios,2.99,1.9,0.1,0.5,5.49,92.0,90.0,8.0,516.0,Turn 10,E,28,6
Super Mario Advance,2001.0,Nintendo,3.14,1.24,0.91,0.2,5.49,84.0,19.0,7.8,41.0,Nintendo,E,6,4
Monster Hunter Freedom Unite,2008.0,Capcom,0.47,0.55,4.13,0.34,5.48,81.0,48.0,8.7,124.0,Capcom,T,19,7
Batman: Arkham City,2011.0,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,42.0,8.6,2162.0,Rocksteady Studios,T,17,0
Grand Theft Auto V,2014.0,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,14.0,7.9,764.0,Rockstar North,M,30,0
Mario Kart: Super Circuit,2001.0,Nintendo,2.62,1.64,0.99,0.23,5.47,93.0,24.0,8.3,108.0,Intelligent Systems,E,6,6
Super Mario World,2001.0,Nintendo,3.21,1.11,0.95,0.2,5.46,,,,,,,6,4
Pokemon Stadium,1999.0,Nintendo,3.18,1.24,0.94,0.09,5.45,,,,,,,10,11
Crash Bandicoot: The Wrath of Cortex,2001.0,Universal Interactive,2.07,2.29,0.24,0.82,5.42,66.0,22.0,7.1,156.0,Traveller's Tales,E,16,4
Call of Duty: World at War,2008.0,Activision,2.73,1.83,0.0,0.83,5.39,85.0,45.0,7.6,409.0,Treyarch,M,17,8
Uncharted 4: A Thief's End,2016.0,Sony Computer Entertainment,1.85,2.5,0.19,0.85,5.38,93.0,113.0,7.9,7064.0,Naughty Dog,T,18,8
Dr. Mario,1989.0,Nintendo,2.18,0.96,2.0,0.2,5.34,,,,,,,5,5
Final Fantasy XIII,2009.0,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,83.0,7.3,2483.0,Square Enix,T,17,7
Pokemon Pinball,1999.0,Nintendo,3.02,1.12,1.01,0.16,5.31,,,,,,,5,3
Final Fantasy IX,2000.0,SquareSoft,1.62,0.77,2.78,0.14,5.3,94.0,22.0,8.9,779.0,SquareSoft,T,15,7
Assassin's Creed III,2012.0,Ubisoft,3.13,1.69,0.03,0.44,5.29,84.0,61.0,6.7,1196.0,Ubisoft,M,28,0
Final Fantasy X-2,2003.0,Electronic Arts,1.92,1.08,2.11,0.17,5.29,85.0,45.0,6.6,400.0,SquareSoft,T,16,7
Donkey Kong 64,1999.0,Nintendo,3.33,0.79,1.09,0.06,5.27,,,,,,,10,4
Call of Duty: Advanced Warfare,2014.0,Activision,3.22,1.55,0.01,0.48,5.27,81.0,53.0,5.4,898.0,Sledgehammer Games,M,30,8
Minecraft,2014.0,Sony Computer Entertainment,2.03,2.37,0.0,0.87,5.26,,,,,,,17,3
Assassin's Creed II,2009.0,Ubisoft,3.11,1.55,0.08,0.51,5.26,90.0,82.0,8.8,1305.0,Ubisoft Montreal,M,28,0
Tomb Raider II,1997.0,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,85.0,13.0,,,Core Design Ltd.,T,15,0
Madden NFL 2004,,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94.0,29.0,8.5,140.0,EA Tiburon,E,16,10
Tomodachi Life,2013.0,Nintendo,0.97,2.11,1.9,0.24,5.23,,,,,,,2,9
New Super Mario Bros. U,2012.0,Nintendo,2.3,1.34,1.27,0.32,5.22,84.0,70.0,8.1,733.0,Nintendo,E,27,4
Dragon Quest VIII: Journey of the Cursed King,2004.0,Square Enix,0.65,0.75,3.61,0.2,5.21,89.0,63.0,8.8,245.0,Level 5,T,16,7
Super Mario Bros. 3,2003.0,Nintendo,2.93,1.25,0.83,0.2,5.2,,,,,,,6,4
Professor Layton and the Curious Village,2007.0,Nintendo,1.21,2.43,1.03,0.52,5.19,85.0,72.0,8.6,147.0,Level 5,E,4,5
Super Mario Land 3: Wario Land,1994.0,Nintendo,2.49,0.98,1.57,0.15,5.19,,,,,,,5,4
FIFA Soccer 13,2012.0,Electronic Arts,1.09,3.47,0.03,0.57,5.16,90.0,48.0,6.1,403.0,Electronic Arts,E,28,0
Donkey Kong Country 2: Diddy's Kong Quest,1995.0,Nintendo,2.1,0.74,2.2,0.11,5.15,,,,,,,23,4
Diablo III,2012.0,Activision,2.44,2.16,0.0,0.54,5.14,88.0,86.0,4.0,9629.0,Blizzard Entertainment,M,13,7
Medal of Honor: Rising Sun,2003.0,Electronic Arts,1.98,2.23,0.13,0.8,5.13,68.0,30.0,7.6,100.0,EA LA,T,16,8
Kirby's Dream Land,1992.0,Nintendo,2.71,0.61,1.7,0.11,5.13,,,,,,,5,4
Microsoft Flight Simulator,1996.0,Microsoft Game Studios,3.22,1.69,0.0,0.2,5.12,,,,,,,13,9
Guitar Hero II,2006.0,RedOctane,3.81,0.63,0.0,0.68,5.12,92.0,69.0,8.5,112.0,Harmonix Music Systems,T,16,3
Fable III,2010.0,Microsoft Game Studios,3.59,1.08,0.05,0.38,5.1,80.0,88.0,6.5,604.0,Lionhead Studios,M,28,7
Mario & Sonic at the Olympic Games,2008.0,Sega,1.63,2.45,0.44,0.57,5.09,,,,,,,4,10
Resident Evil 5,2009.0,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,76.0,7.5,667.0,Capcom,M,17,0
The Legend of Zelda: Phantom Hourglass,2007.0,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,57.0,8.0,416.0,Nintendo,E,4,0
